titulo,data,resumo,url
CIRCUITO DE TREINAMENTOS E WEBINARS CSA E SOMAR,14 de abril de 2020,"Temos uma ótima notícia pra você!! A CSA Consultoria em parceria com a Somar Soluções, canal de distribuição da WK Sistemas em Belo Horizonte – Minas Gerais, estarão promovendo um Circuito de Treinamentos e Webinars focados em funcionalidades do Radar Empresarial para ajudá-lo a superar este momento de crise. Os encontros, todos […]",http://www.csa-ma.com.br/wp-content/uploads/2020/04/Webinars-WK-e-Somar_site-270x230.png
PACOTE ANTICRISE – CSA CONSULTORIA,30 de março de 2020,"Estamos enfrentamento um momento de crise com a pandemia do COVID-19 e nesta situação queremos que nossa parceria faça a diferença na sua empresa! Entendemos que fazer a diferença é estar ao seu lado, apoiando, para que mesmo diante de todas as dificuldades sua empresa continue funcionando, sem precisar colocar […]",http://www.csa-ma.com.br/wp-content/uploads/2020/03/cabe%C3%A7a-landing-page-Pacote-anticrise-CSA-270x230.png
CONTROLAR BENEFÍCIOS EM PLANILHA? TÔ FORA!,20 de agosto de 2019,"A rotina dos profissionais do departamento de Recursos Humanos concentra muitos processos que são essenciais para o desenvolvimento de uma empresa. Uma de suas principais responsabilidades é gerenciar a folha de pagamento, que engloba diversos processos, como a gestão dos benefícios concedidos aos colaboradores, férias, décimo terceiro, o recolhimento dos […]",http://www.csa-ma.com.br/wp-content/uploads/2019/08/Capa-Benef%C3%ADcios-270x230.png
VAGA DE ESTÁGIO – SDR (SALES DEVELOPMENT REPRESENTATIVE),29 de julho de 2019,"Quer trabalhar em uma empresa inovadora, ajudando a estruturar um processo inovador? Venha estagiar com a gente!   A CSA está com uma vaga incrível em aberto na área comercial: SDR – Sales Development Representative !! Foco do SDR: Prospecção, qualificação e nutrição do funil de vendas Responsabilidades: Geração de listas […]",http://www.csa-ma.com.br/wp-content/uploads/2019/07/Vaga-SDR-CAPA-270x230.jpg
O ESOCIAL VAI ACABAR ? FATO OU FAKE ?,19 de julho de 2019,"Recentemente o governo lançou uma nota informando a simplificação da estrutura do eSocial e com isso trouxe uma enxurrada de fake news sobre: “extinção do eSocial“. A CSA Esclarece: NÃO É BEM ASSIM… Ficamos espantados com a grande circulação através das mídias, sobre uma inverdade que se espalhou pelo Brasil […]",http://www.csa-ma.com.br/wp-content/uploads/2019/07/capa-eSocial-novas-diretrizes-270x230.png
A IMPORTÂNCIA DOS DADOS PARA ESTRATÉGIAS DE GESTÃO,27 de maio de 2019,"Estamos vivendo a era da inovação onde a tecnologia e a automatização são fundamentais para a sobrevivência das empresas no mercado, alguns gestores já possuem esse entendimento e compreendem a importância de ter seus dados informatizados para uma boa estratégia de gestão. Mas infelizmente a maioria dos empresários não possui […]",http://www.csa-ma.com.br/wp-content/uploads/2019/05/Capa-Gest%C3%A3o-de-dados-270x230.png
EFD-REINF: COMO VAI FUNCIONAR E QUAL SETOR É RESPONSÁVEL PELA ENTREGA?,23 de abril de 2019,Junto com a onda do eSocial veio a EFD-REINF! Mais uma obrigação acessória que pegou […],http://www.csa-ma.com.br/wp-content/uploads/2019/04/capa-EFD-REINF-blog-270x230.png
O QUE ESPERAR DO SST PARA O ESOCIAL ?,12 de fevereiro de 2019,O primeiro contato com o eSocial foi feito através da equipe do departamento pessoal. Passado […],http://www.csa-ma.com.br/wp-content/uploads/2019/02/Post-SST-esocial-capapng-270x230.png
ESOCIAL – ENTENDA TODAS AS MUDANÇAS E SE ADEQUE!,22 de novembro de 2018,"O eSocial já começou e ainda sim muitas empresas ainda não sabem como se adequar, […]",http://www.csa-ma.com.br/wp-content/uploads/2018/11/Capa-eSocial-270x230.jpg
DCTF WEB: ENTENDA O QUE É E SUA RELAÇÃO COM ESOCIAL E EFD REINF.,26 de setembro de 2018,"Esse ano foi marcado por muitas mudanças no âmbito fiscal, previdenciário e trabalhista. Junto com […]",http://www.csa-ma.com.br/wp-content/uploads/2018/09/dctf-web-capa--270x230.png
